Generated by Tarma® Installer 5.9.4239 (2011.08.09.0857U)
© 1990-2011 Tarma Software Research Pty Ltd. All rights reserved.

Log file opened at 2012-10-01 08:33:47

0004A086|BLD:W0135|0000|3F12A060E4E08C0B|vshost_9.0.0.0_b03f5f7f11d50a3a_MSIL_8640A7530F4AF950|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|61586AE06FA3DA7E|any_MyApplication.app_1.0.0.0_none_8ED88C85E6CA957B|Component contains no installation objects
0004A0A3|BLD:W0164|0000|61586AE06FA3DA7E|any_MyApplication.app_1.0.0.0_none_8ED88C85E6CA957B|Side-by-side assembly must have manifest file
00046057|BLD:Q0088|0000|BA6D491DB7CAB7F6|Service_References.ServiceReference1.Reference.cs_0.0.0_930F4265B1972A90|Component contains no installation objects
0004A086|BLD:W0135|0000|BA6D491DB7CAB7F6|Service_References.ServiceReference1.Reference.cs_0.0.0_930F4265B1972A90|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|6A6A752A63AC78A4|WCFConsumer_NonProxy_1.0.0.0_L_6a4191b3b3d06e3d_MSIL_1AE072851CDFD833|Component contains no installation objects
0004A086|BLD:W0135|0000|6A6A752A63AC78A4|WCFConsumer_NonProxy_1.0.0.0_L_6a4191b3b3d06e3d_MSIL_1AE072851CDFD833|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|89B38F85D5FCD586|BusinessObjects_1.0.0.0_L_2d30bb999ffc64ed_MSIL_60AAD59EA7AB43F5|Component contains no installation objects
0004A086|BLD:W0135|0000|89B38F85D5FCD586|BusinessObjects_1.0.0.0_L_2d30bb999ffc64ed_MSIL_60AAD59EA7AB43F5|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|08DFF1CCD6CE983B|EntitySpaces.Core_2011.0.331.0_127bcb8ceedbe220_MSIL_730BB3634369E1E1|Component contains no installation objects
0004A086|BLD:W0135|0000|08DFF1CCD6CE983B|EntitySpaces.Core_2011.0.331.0_127bcb8ceedbe220_MSIL_730BB3634369E1E1|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|3B3A151BD9F7D288|EntitySpaces.DynamicQuery_2011.0.331.0_127bcb8ceedbe220_58DCBA6019A8E9C2|Component contains no installation objects
0004A086|BLD:W0135|0000|3B3A151BD9F7D288|EntitySpaces.DynamicQuery_2011.0.331.0_127bcb8ceedbe220_58DCBA6019A8E9C2|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|9248F7F3AF5E09E9|EntitySpaces.Interfaces_2011.0.331.0_127bcb8ceedbe220_M_B1CDAEED77E5298E|Component contains no installation objects
0004A086|BLD:W0135|0000|9248F7F3AF5E09E9|EntitySpaces.Interfaces_2011.0.331.0_127bcb8ceedbe220_M_B1CDAEED77E5298E|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|A2D4654FBE1290E9|WCFConsumer_Thick_1.0.0.0_L_8daf742157e055c1_MSIL_108831E031F5572D|Component contains no installation objects
0004A086|BLD:W0135|0000|A2D4654FBE1290E9|WCFConsumer_Thick_1.0.0.0_L_8daf742157e055c1_MSIL_108831E031F5572D|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|5B7AF49004777D02|vshost_9.0.0.0_b03f5f7f11d50a3a_MSIL_EEDC8B98A11BB01E|Component contains no installation objects
0004A086|BLD:W0135|0000|5B7AF49004777D02|vshost_9.0.0.0_b03f5f7f11d50a3a_MSIL_EEDC8B98A11BB01E|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|3D913721DA1028B5|any_MyApplication.app_1.0.0.0_none_FE26988FC7B76C7A|Component contains no installation objects
0004A0A3|BLD:W0164|0000|3D913721DA1028B5|any_MyApplication.app_1.0.0.0_none_FE26988FC7B76C7A|Side-by-side assembly must have manifest file
00046057|BLD:Q0088|0000|38B015B47B89C31A|Service_References.ServiceReference1.Reference.cs_0.0.0_AFFEF75DDB084BD7|Component contains no installation objects
0004A086|BLD:W0135|0000|38B015B47B89C31A|Service_References.ServiceReference1.Reference.cs_0.0.0_AFFEF75DDB084BD7|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|5EE41BE42A975290|WCFConsumer_Thick_1.0.0.0_L_87042ebcb179ff79_MSIL_9EEF263A838398F0|Component contains no installation objects
0004A086|BLD:W0135|0000|5EE41BE42A975290|WCFConsumer_Thick_1.0.0.0_L_87042ebcb179ff79_MSIL_9EEF263A838398F0|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|C6E4F10045978497|EntitySpaces.DynamicQuery_2011.0.331.0_127bcb8ceedbe220_19703B1141E19F99|Component contains no installation objects
0004A086|BLD:W0135|0000|C6E4F10045978497|EntitySpaces.DynamicQuery_2011.0.331.0_127bcb8ceedbe220_19703B1141E19F99|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|715B27898AE6313F|Proxies_1.0.0.0_L_c6a733359479290b_MSIL_C6DE8E2F3C8BC6BB|Component contains no installation objects
0004A086|BLD:W0135|0000|715B27898AE6313F|Proxies_1.0.0.0_L_c6a733359479290b_MSIL_C6DE8E2F3C8BC6BB|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|883CF3E922402AFB|WCFConsumer_Thin_1.0.0.0_L_90b612cc079f9ce7_MSIL_86AB944029E24F6D|Component contains no installation objects
0004A086|BLD:W0135|0000|883CF3E922402AFB|WCFConsumer_Thin_1.0.0.0_L_90b612cc079f9ce7_MSIL_86AB944029E24F6D|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|2387EA50FE34B854|vshost_9.0.0.0_b03f5f7f11d50a3a_MSIL_418CE5A5A8D02E7D|Component contains no installation objects
0004A086|BLD:W0135|0000|2387EA50FE34B854|vshost_9.0.0.0_b03f5f7f11d50a3a_MSIL_418CE5A5A8D02E7D|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|80D84BCADF9F20DA|any_MyApplication.app_1.0.0.0_none_B04ADBA0D6C057CF|Component contains no installation objects
0004A0A3|BLD:W0164|0000|80D84BCADF9F20DA|any_MyApplication.app_1.0.0.0_none_B04ADBA0D6C057CF|Side-by-side assembly must have manifest file
00046057|BLD:Q0088|0000|35DF38DAFBE705FA|WCFConsumer_Thin_1.0.0.0_L_2741252fbcf2d512_MSIL_10DDE9A1BE83B120|Component contains no installation objects
0004A086|BLD:W0135|0000|35DF38DAFBE705FA|WCFConsumer_Thin_1.0.0.0_L_2741252fbcf2d512_MSIL_10DDE9A1BE83B120|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|A58564EB3AA18B75|BusinessObjects_1.0.0.0_L_54906316fe704425_MSIL_7785D6ED2747A292|Component contains no installation objects
0004A086|BLD:W0135|0000|A58564EB3AA18B75|BusinessObjects_1.0.0.0_L_54906316fe704425_MSIL_7785D6ED2747A292|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|15BF0B6E86B63CF9|EntitySpaces.Core_2011.0.331.0_127bcb8ceedbe220_MSIL_0F32DBC74DB1E79A|Component contains no installation objects
0004A086|BLD:W0135|0000|15BF0B6E86B63CF9|EntitySpaces.Core_2011.0.331.0_127bcb8ceedbe220_MSIL_0F32DBC74DB1E79A|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|579663A1C76D22E8|EntitySpaces.DynamicQuery_2011.0.331.0_127bcb8ceedbe220_E53C554DFEA29B1A|Component contains no installation objects
0004A086|BLD:W0135|0000|579663A1C76D22E8|EntitySpaces.DynamicQuery_2011.0.331.0_127bcb8ceedbe220_E53C554DFEA29B1A|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|B1426B89B688C2CE|EntitySpaces.Interfaces_2011.0.331.0_127bcb8ceedbe220_M_24C9D0E4C91C3625|Component contains no installation objects
0004A086|BLD:W0135|0000|B1426B89B688C2CE|EntitySpaces.Interfaces_2011.0.331.0_127bcb8ceedbe220_M_24C9D0E4C91C3625|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|49E37C81651D4BAC|EntitySpaces.Loader_2011.0.331.0_127bcb8ceedbe220_MSIL_697331885562D47B|Component contains no installation objects
0004A086|BLD:W0135|0000|49E37C81651D4BAC|EntitySpaces.Loader_2011.0.331.0_127bcb8ceedbe220_MSIL_697331885562D47B|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|172B1CC1FEA2BE12|EntitySpaces.SqlClientProvider_2011.0.331.0_127bcb8ceed_29A519D5311ECAC1|Component contains no installation objects
0004A086|BLD:W0135|0000|172B1CC1FEA2BE12|EntitySpaces.SqlClientProvider_2011.0.331.0_127bcb8ceed_29A519D5311ECAC1|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|0E102680AB4F8153|WCFService_1.0.0.0_L_03ea077a414b4398_MSIL_C586EB4C41554D7B|Component contains no installation objects
0004A086|BLD:W0135|0000|0E102680AB4F8153|WCFService_1.0.0.0_L_03ea077a414b4398_MSIL_C586EB4C41554D7B|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|C8ABE362C24AA1FB|WCFService_1.0.0.0_L_324ce6ec82b21bc0_MSIL_49D741E753FA42A6|Component contains no installation objects
